EDUC,GENDER,MARRIAGE,OWNSTATE,RELIG1,SELFBORN,VOLUNT1,Education_Level,Male,Marriage_Status,Own_State,Christian,BORN_USA,Volunteer
4 years of coll./B.A. degree,Female,Never married,Excellent,Protestant,Yes,Yes,1,0,0,4,1,1,1
M.A. or M.S. degree,Male,Married,Very good,Catholic,Yes,No,2,1,1,3,1,1,0
4 years of coll./B.A. degree,Female,Divorced,Very good,Protestant,Yes,Yes,1,0,2,3,1,1,1
4 years of coll./B.A. degree,Male,Married,Good,Catholic,Yes,Yes,1,1,1,2,1,1,1
"12th grade, H.S. diploma",Male,Widowed,Good,Protestant,Yes,No,0,1,3,2,1,1,0
"12th grade, H.S. diploma",Female,Married,Excellent,Protestant,Yes,Yes,0,0,1,4,1,1,1
4 years of coll./B.A. degree,Female,Never married,Very good,Catholic,Yes,Yes,1,0,0,3,1,1,1
4 years of coll./B.A. degree,Male,Married,Poor,Protestant,Yes,Yes,1,1,1,0,1,1,1
4 years of coll./B.A. degree,Female,Married,Good,Catholic,Yes,Yes,1,0,1,2,1,1,1
4 years of coll./B.A. degree,Female,Widowed,Good,Catholic,Yes,No,1,0,3,2,1,1,0
M.A. or M.S. degree,Female,Widowed,Excellent,No religion,Yes,No,2,0,3,4,0,1,0
4 years of coll./B.A. degree,Female,Widowed,Very good,Protestant,Yes,No,1,0,3,3,1,1,0
4 years of coll./B.A. degree,Female,Married,Very good,Other religion,Yes,Yes,1,0,1,3,0,1,1
M.A. or M.S. degree,Male,Married,Excellent,Protestant,Yes,Yes,2,1,1,4,1,1,1
4 years of coll./B.A. degree,Female,Married,Very good,Protestant,Yes,Yes,1,0,1,3,1,1,1
4 years of coll./B.A. degree,Male,Never married,Good,No religion,Yes,No,1,1,0,2,0,1,0
4 years of coll./B.A. degree,Female,Never married,Good,Protestant,Yes,Yes,1,0,0,2,1,1,1
M.A. or M.S. degree,Female,Divorced,Very good,Protestant,Yes,No,2,0,2,3,1,1,0
"Professional (PhD, JD, MD)",Male,Married,Excellent,No religion,Yes,Yes,3,1,1,4,0,1,1
4 years of coll./B.A. degree,Male,Married,Very good,No religion,Yes,No,1,1,1,3,0,1,0
4 years of coll./B.A. degree,Female,Never married,Good,No religion,Yes,No,1,0,0,2,0,1,0
M.A. or M.S. degree,Female,Divorced,Good,Protestant,Yes,Yes,2,0,2,2,1,1,1
